"text id","sentence id","token id","score"
0,0,3,-0.273
0,0,5,0.03
0,0,12,-0.03
0,2,16,-0.242
0,2,18,0.182
0,3,6,-0.031
0,4,2,0.091
0,4,13,0.161
0,4,17,-0.257
0,4,32,0.182
0,5,3,-0.353
0,5,19,0.485
0,5,25,-0.118
0,6,3,-0.324
0,6,10,0.125
0,6,26,-0.265
0,6,33,-0.212
0,7,4,0.212
0,7,10,-0.182
0,7,19,0.029
0,8,1,-0.03
0,8,3,-0.029
0,9,5,0.229
0,10,4,0.257
0,11,2,-0.258
0,11,26,-0.375
0,11,32,-0.5
0,12,6,-0.2
0,14,2,-0.176
0,17,13,0.219
0,18,6,-0.588
0,18,13,0.143
0,19,1,-0.212
0,21,4,0.03
0,21,9,-0.059
0,21,14,0
0,21,18,0.379
0,22,2,0
0,22,11,0.25
0,22,12,0.324
0,22,15,0.545
0,22,18,-0.229
0,23,2,0.059
0,23,11,-0.176
0,23,19,-0.161
0,24,14,-0.485
0,24,15,-0.065
0,26,6,-0.143
0,27,8,0.176
0,27,13,-0.471
0,28,7,-0.457
0,28,15,-0.031
0,28,19,0.412
0,28,34,-0.235
1,2,11,-0.083
1,2,20,-0.206
1,2,45,-0.121
1,3,3,0.062
1,3,27,-0.406
1,3,33,-0.059
2,2,5,0.088
2,2,29,0.265
2,3,3,-0.353
2,3,5,0.029
2,5,1,-0.125
2,5,16,0.083
2,6,1,-0.061
2,6,5,0
2,6,11,-0.062
2,6,16,0.212
2,6,24,-0.059
2,6,30,-0.125
2,6,33,0.088
2,7,4,0.143
2,7,8,0.176
2,8,6,0.303
2,9,8,-0.156
2,9,18,0
2,9,27,-0.061
2,9,29,0.343
2,9,30,0.323
2,10,5,0.094
2,11,1,-0.412
2,11,8,-0.147
2,11,19,0.303
2,11,25,0
2,11,30,-0.152
2,11,41,0.171
2,11,46,-0.353
2,11,47,-0.129
3,2,5,-0.242
3,2,13,0.486
3,2,17,0.257
3,2,18,0.059
3,3,2,-0.303
3,3,22,-0.088
4,2,8,-0.029
4,2,29,-0.094
4,2,30,0.121
4,2,35,-0.324
4,2,38,-0.281
4,2,41,0.656
4,3,5,-0.121
4,3,8,-0.139
4,4,4,-0.355
4,4,23,-0.156
4,4,27,-0.229
4,4,30,-0.394
4,4,31,-0.188
4,4,42,-0.029
4,5,7,0.152
4,5,9,-0.219
4,5,13,-0.242
4,5,15,0.171
4,5,18,0.438
4,6,4,0.324
4,6,6,-0.188
4,6,8,-0.125
4,6,14,-0.061
4,6,15,0.529
4,6,18,0.027
4,6,21,-0.147
4,7,16,0.576
4,7,23,-0.485
4,8,7,-0.25
4,8,15,0.294
4,9,9,0.062
4,9,17,-0.03
5,0,4,0.03
5,2,24,0.171
5,3,13,-0.212
5,4,5,0.188
5,4,27,-0.03
5,4,29,-0.618
5,4,34,0.412
5,4,35,0.265
5,4,37,0.176
5,4,38,-0.419
5,4,40,-0.441
5,5,50,-0.059
5,5,52,0.206
5,5,63,-0.452
5,5,68,0.062
5,7,15,0.233
6,2,3,0.176
6,2,14,-0.5
6,3,11,-0.242
6,4,4,0.029
6,4,13,0.394
6,4,16,0.412
6,4,21,0.088
6,6,13,0.147
6,9,3,-0.412
6,9,7,0.364
6,11,3,0.364
7,2,8,0.176
7,3,6,0.294
7,3,15,0.118
7,3,23,-0.242
8,2,23,0
8,2,32,-0.355
8,4,3,-0.032
8,4,4,-0.088
8,4,14,0.031
8,4,19,0.2
8,9,2,-0.333
8,9,5,-0.324
8,12,5,-0.343
8,12,15,-0.312
8,13,26,0.057
8,13,34,-0.206
8,13,36,-0.118
8,16,13,-0.229
8,16,15,-0.182
8,17,5,0.121
8,17,7,0.059
9,2,5,-0.125
9,2,6,0.032
9,3,21,-0.265
9,5,25,-0.344
9,5,33,0.061
9,5,36,0.206
9,5,44,0.242
9,6,4,-0.324
9,7,11,-0.212
9,7,39,0.206
9,8,15,-0.029
9,8,27,-0.294
9,9,5,0
9,9,7,-0.5
9,9,16,-0.091
9,11,2,0.029
9,11,8,-0.229
9,11,10,-0.25
9,11,14,0
9,11,42,0.121
9,12,31,-0.212
9,12,39,-0.167
9,13,3,0.344
9,13,11,-0.412
9,15,14,-0.31
9,16,14,0.441
9,16,38,0.182
9,16,39,-0.088
9,17,2,-0.344
9,17,6,0.212
9,18,6,0.118
9,18,19,0.355
9,19,12,0.147
9,21,5,0.235
9,21,7,-0.324
9,22,3,0.118
9,23,4,0.031
9,23,5,0.273
10,2,13,-0.094
10,2,17,0.086
10,3,9,0.091
10,4,3,-0.485
10,4,5,-0.242
10,4,18,-0.139
10,5,2,0.206
10,5,4,0.194
10,5,7,0.114
10,5,17,0.5
10,6,6,-0.057
10,6,14,-0.125
10,6,26,-0.361
10,7,3,0.03
10,7,12,0.088
10,8,1,-0.303
10,8,24,0.118
10,8,29,0.294
10,8,33,-0.2
10,8,35,-0.059
10,8,36,0.061
10,9,7,-0.344
10,9,8,-0.176
10,9,9,0.147
10,9,25,0.226
10,9,32,0.429
10,10,9,0.029
10,10,11,0.156
10,10,16,-0.065
10,10,25,-0.333
10,10,28,-0.091
10,10,30,0.4
10,11,3,0.242
10,11,15,0.394
10,11,20,0.242
10,12,13,-0.294
10,12,16,0.097
10,12,22,-0.143
10,12,26,0.216
10,13,5,0.029
10,14,13,0.171
10,14,17,-0.059
10,14,20,-0.062
10,14,26,0.032
10,14,28,0.286
10,14,34,0.114
10,14,44,0.121
10,15,1,-0.129
10,15,8,-0.091
10,16,12,0.235
10,17,11,-0.375
10,18,3,0.2
10,18,13,0.147
10,18,15,0.235
10,18,17,-0.182
10,18,19,0.188
10,18,21,-0.061
10,18,23,0.406
10,18,33,0
10,18,35,0.121
10,18,40,-0.059
10,19,3,0.515
10,19,6,0.645
10,19,11,0.059
10,19,12,0.25
10,20,2,-0.033
10,21,2,-0.206
10,21,7,-0.139
10,21,16,-0.375
10,23,20,0.486
10,23,23,0.471
10,24,18,0.088
10,24,20,0.088
10,24,23,-0.212
10,25,25,0.176
10,25,29,-0.273
10,26,6,0.333
10,26,8,0.147
10,26,11,0.114
10,26,14,0.088
10,27,4,-0.515
10,28,17,-0.143
10,29,3,0.206
10,29,5,-0.118
10,30,1,-0.273
10,30,10,-0.111
10,30,30,0.265
10,31,2,0.188
10,31,10,0.353
10,32,7,0.364
10,34,5,0.094
10,34,24,-0.129
10,34,31,-0.235
10,35,6,0.121
10,35,13,-0.25
10,35,19,0.226
10,36,3,0.182
10,36,7,0.171
10,37,3,0.059
10,37,7,0.312
10,37,14,0.324
10,37,28,-0.235
10,38,3,0.2
10,38,12,0.086
10,40,5,0.483
10,40,8,0.559
10,40,12,-0.212
10,40,13,0.452
10,40,21,0.167
10,41,5,0.559
10,41,6,0.528
10,41,19,-0.121
10,42,14,-0.147
10,43,1,-0.147
10,43,11,-0.4
10,43,14,-0.355
10,44,4,0.029
10,44,5,-0.029
11,2,4,0.25
11,3,16,-0.03
11,3,26,-0.114
11,3,28,0.057
11,3,30,0.147
11,3,31,0.129
11,3,33,0.029
11,4,9,0.182
11,4,17,-0.065
11,4,20,0.111
11,4,21,0
11,4,23,-0.152
11,4,28,-0.286
11,6,3,-0.032
11,6,5,0.206
11,6,10,0.353
11,6,11,0.118
11,7,9,-0.545
11,8,4,-0.182
11,12,6,-0.242
11,12,8,0.091
11,12,14,0.2
11,12,17,0.029
11,13,11,0.364
11,14,5,0.265
11,14,7,0.147
11,15,1,-0.5
11,15,5,0.059
11,16,1,0.2
11,16,4,-0.143
11,16,8,-0.097
11,16,13,0.088
11,16,18,-0.094
11,17,2,-0.182
11,17,11,0.118
11,17,19,0.059
11,18,7,0.188
11,19,2,-0.194
11,19,19,0.4
11,19,22,0.206
11,19,29,0.091
11,19,32,0.176
11,19,36,0.057
11,20,4,0.265
11,20,15,0.235
